document_id,question,type,options
Social Media Policy,Does the company allow employees to use social media in a work-related context,radio,"Yes, No"
Social Media Policy,Types of social media covered under this policy,multi select,"[LinkedIn, Twitter/X, Facebook, Instagram]"
Social Media Policy,Are employees allowed to represent the company on social media,radio,"Yes, No"
Social Media Policy,Is respectful and professional conduct required on social media,radio,"Yes, No"
Social Media Policy,Is sharing confidential or proprietary information prohibited,radio,"Yes, No"
Social Media Policy,Is the use of company branding or logos restricted,radio,"Yes, No"
Social Media Policy,Are employees required to clarify personal opinions versus company views,radio,"Yes, No"
Social Media Policy,Briefly describe any required disclaimers for personal accounts,text,None
Social Media Policy,Can the company take action for social media policy violations,radio,"Yes, No"
Social Media Policy,Are social media activities monitored for policy compliance,radio,"Yes, No"
Social Media Policy,Explain how revenue recognition exceptions are approved and documented,text area,None
,,,
Performance Review Process,Procedure name,text,None
Performance Review Process,Applies to roles,multi select,"[Employee, Manager, HR, Finance, IT, Other]"
Performance Review Process,Procedure owner,text,None
Performance Review Process,Effective date,calendar,None
Performance Review Process,Last reviewed date,calendar,None
Performance Review Process,What is the primary purpose of this performance review process?,text area,None
Performance Review Process,Which employees does this performance review apply to?,text area,None
Performance Review Process,Who should use this document?,multi select,"[Employees, Managers, HR Team, Leadership]"
Performance Review Process,Define roles and responsibilities involved in the performance review process.,table,"[Role, Responsibilities]"
Performance Review Process,How often are performance reviews conducted?,multi select,"[Monthly, Quarterly, Bi-annually, Annually]"
Performance Review Process,What information or inputs are required before starting the review?,text area,None
Performance Review Process,Which tools or systems are used to conduct and document performance reviews?,text area,None
Performance Review Process,Describe the step-by-step procedure for conducting a performance review.,text area,None
Performance Review Process,What are the expected outcomes of the performance review?,text area,None
Performance Review Process,How are performance review results communicated to employees?,text area,None
Performance Review Process,"Are performance improvement plans or development actions required after the review? If yes, describe the process.",text area,None
Performance Review Process,Are there any exceptions to the standard performance review process?,radio,"Yes, No"
Performance Review Process,"How are exceptions, disputes, or disagreements handled and escalated?",text area,None
Performance Review Process,What records or documentation must be maintained after completing the review?,text area,None
,,,
Offboarding Procedure,Company Name,text,None
Offboarding Procedure,Document Version,text,None
Offboarding Procedure,Effective Date,calendar,None
Offboarding Procedure,Who owns this offboarding process?,multi select,"[HR Team, People Operations, IT Team, Management, Other]"
Offboarding Procedure,What is the primary purpose of this offboarding procedure?,text,None
Offboarding Procedure,Who should use this document?,multi select,"[HR Team, Managers, IT Team, Finance Team, Leadership]"
Offboarding Procedure,Define roles and responsibilities involved in offboarding,table,"[Role, Responsibility]"
Offboarding Procedure,What triggers the offboarding process?,multi select,"[Resignation, Termination, End of Contract, Retirement, Other]"
Offboarding Procedure,What inputs are required before starting the offboarding process?,text,None
Offboarding Procedure,Which tools or systems are used during offboarding?,text,None
Offboarding Procedure,Describe the step-by-step offboarding procedure,text area,None
Offboarding Procedure,Is manager approval required during offboarding?,radio,"[Yes, No]"
Offboarding Procedure,Are company assets required to be returned during offboarding?,radio,"[Yes, No]"
Offboarding Procedure,Are access rights and system credentials revoked as part of offboarding?,radio,"[Yes, No]"
Offboarding Procedure,Are there any exceptions to the standard offboarding procedure? if yes explain.,text area,None
,,,
Incident Response Plan (operational in nature),Company Name,text,None
Incident Response Plan (operational in nature),Document Version,text,None
Incident Response Plan (operational in nature),Effective Date,calendar,None
Incident Response Plan (operational in nature),Last Reviewed Date,calendar,None
Incident Response Plan (operational in nature),Who owns this incident response process?,multi select,"[Security Team, IT Operations, SRE Team, Incident Management Team, Other]"
Incident Response Plan (operational in nature),What is the primary purpose of this incident response plan?,text,None
Incident Response Plan (operational in nature),What types of incidents does this plan cover?,multi select,"[System outage, Security incident, Data breach, Performance degradation, Network issue, Application failure, Other]"
Incident Response Plan (operational in nature),Who should use this document?,multi select,"[IT Operations, SRE Team, Security Team, Engineering Team, Management]"
Incident Response Plan (operational in nature),Define roles and responsibilities,table,"[Role, Responsibility]"
Incident Response Plan (operational in nature),What are the mandatory preconditions for initiating incident response?,multi select,"[Monitoring alert triggered, User-reported issue, Security alert, Service downtime detected, Manual escalation]"
Incident Response Plan (operational in nature),How are incidents classified by severity?,radio,"[Critical, High, Medium, Low]"
Incident Response Plan (operational in nature),What information is required when an incident is identified?,text area,None
Incident Response Plan (operational in nature),Which tools or systems are used during incident response?,multi select,"[Monitoring tools, Ticketing system, Incident management tool, Communication tool, Logging system]"
Incident Response Plan (operational in nature),Describe the step-by-step incident response procedure,text area,None
Incident Response Plan (operational in nature),When should an incident be escalated?,text area,None
Incident Response Plan (operational in nature),"If there any exceptions to the standard incident response process, describe the exception scenarios and actions",text area,None
Incident Response Plan (operational in nature),Describe the incident communication process (internal and external),text area,None
Incident Response Plan (operational in nature),Explain how incident resolution and recovery are validated,text area,None
Incident Response Plan (operational in nature),Describe post-incident review or root cause analysis process,text area,None
Incident Response Plan (operational in nature),Explain how lessons learned are documented and shared,text area,None
Incident Response Plan (operational in nature),Describe how this incident response plan is reviewed and updated,text area,None
,,,
Customer Onboarding Checklist,Company Name,text,None
Customer Onboarding Checklist,Document Version,text,None
Customer Onboarding Checklist,Effective Date,calendar,None
Customer Onboarding Checklist,Last Reviewed Date,calendar,None
Customer Onboarding Checklist,Which internal team owns customer onboarding for the first 30 days?,radio,"[Customer Success, Implementation Team, Operations, Sales, Other]"
Customer Onboarding Checklist,What type of customers does this 30-day onboarding apply to?,text area,None
Customer Onboarding Checklist,What are the primary onboarding goals for the first 30 days?,text area,None
Customer Onboarding Checklist,What information must be available immediately after purchase to start onboarding?,text area,None
Customer Onboarding Checklist,Define internal roles and responsibilities during the first 30 days,table,"[Role, Responsibility]"
Customer Onboarding Checklist,How is the 30-day onboarding structured into phases?,multi select,"[Day 1–3 (Setup & Access), Day 4–10 (Configuration), Day 11–20 (Training & Usage), Day 21–30 (Adoption & Handover)]"
Customer Onboarding Checklist,Provide the step-by-step onboarding checklist for the first 30 days,table,"[Phase/Day Range, Task, Owner, Completion Criteria]"
Customer Onboarding Checklist,Which tools or systems are used during customer onboarding?,multi select,"[CRM, Ticketing Tool, Email, Onboarding Platform, Documentation Portal, Other]"
Customer Onboarding Checklist,What situations require internal escalation during the first 30 days?,text area,None
Customer Onboarding Checklist,Who should onboarding issues be escalated to?,radio,"[Customer Success Lead, Implementation Manager, Engineering, Support, Management]"
Customer Onboarding Checklist,How is successful completion of 30-day onboarding confirmed?,radio,"[Internal checklist sign-off, Customer confirmation, First value milestone achieved, Handover to support/account management]"
Customer Onboarding Checklist,"If there any exceptions to the standard onboarding process, describe the exception scenarios and handling approach",text area,None
,,,
Incident Response Runbook,Company Name,text,None
Incident Response Runbook,Document Version,text,None
Incident Response Runbook,Effective Date,calendar,None
Incident Response Runbook,Who owns this runbook?,multi select,"[IT Operations, SRE Team, Security Team, Incident Management Team, Other]"
Incident Response Runbook,What is the primary purpose of this runbook?,text,None
Incident Response Runbook,Which types of incidents does this runbook cover?,multi select,"[System outage, Security incident, Application failure, Network issue, Performance degradation, Other]"
Incident Response Runbook,Who should use this document?,multi select,"[IT Operations, SRE Team, Security Team, Engineering Team, Management]"
Incident Response Runbook,Define roles and responsibilities,table,"[Role, Responsibility]"
Incident Response Runbook,What are the mandatory preconditions for using this runbook?,multi select,"[Monitoring alert triggered, User-reported issue, Incident ID, Affected system, Severity level]"
Incident Response Runbook,Which tools or systems are used during incident response?,multi select,"[Monitoring tools, Ticketing system, Incident management tool, Logging system, Communication platform]"
Incident Response Runbook,Step-by-step incident response actions,table,"[Step No, Action, Owner, Notes]"
Incident Response Runbook,Are there any exceptions to the standard incident response process?,radio,"[Yes, No]"
Incident Response Runbook,"If there any exceptions to the standard incident response process escalation is required, who should it be escalated to?",text area,None
,,,
Deployment SOP,Company Name,text,None
Deployment SOP,Document Version,text,None
Deployment SOP,Effective Date of this SOP,calendar,None
Deployment SOP,Who is responsible for this deployment process?,text,None
Deployment SOP,What is the main goal of this deployment SOP?,text,None
Deployment SOP,Which environments does this SOP cover?,multi select,"[Development, Staging, Production, QA, Other]"
Deployment SOP,What approvals are required before deployment?,text,None
Deployment SOP,What pre-deployment checks must be completed?,text,None
Deployment SOP,"Which tools, scripts, or systems are required during deployment?",text,None
Deployment SOP,Step-by-step deployment instructions,table,"[Step No, Action, Responsible Role, Notes / Checks]"
Deployment SOP,Describe the rollback plan if deployment fails,text area,None
Deployment SOP,How should deployment success be verified?,text,None
Deployment SOP,Are there any exceptions or special cases for deployment?,radio,"[Yes, No]"
Deployment SOP,Describe the exceptions and required actions,text area,None
Deployment SOP,Describe post-deployment activities and validation steps,text area,None
Deployment SOP,Explain how deployment issues or failures should be reported and tracked,text area,None
Deployment SOP,"Describe communication requirements before, during, and after deployment",text area,None
,,,
Database Migration SOP,Company Name,text,None
Database Migration SOP,Document Version,text,None
Database Migration SOP,Effective Date of this SOP,calendar,None
Database Migration SOP,Who is responsible for this database migration?,text,None
Database Migration SOP,What is the purpose of this database migration SOP?,text,None
Database Migration SOP,Which databases or systems are covered by this SOP?,text,None
Database Migration SOP,What type of database migration is being performed?,multi select,"[Schema Migration, Data Migration, Version Upgrade, Platform Migration, Cloud Migration, Other]"
Database Migration SOP,Is planned downtime required for this migration?,radio,"[Yes, No]"
Database Migration SOP,What pre-migration checks must be completed?,text,None
Database Migration SOP,Which tools or systems are required for migration?,text,None
Database Migration SOP,Step-by-step database migration procedure,table,"[Step No, Action, Responsible Role, Notes / Checks]"
Database Migration SOP,How is migration success validated after completion?,text,None
Database Migration SOP,Is rollback required if migration fails?,radio,"[Yes, No]"
Database Migration SOP,Describe the rollback or failure-handling procedure,text area,None
Database Migration SOP,Are there any exceptions or special considerations?,radio,"[Yes, No]"
Database Migration SOP,"If yes, describe the exceptions and handling approach",text area,None
,,,
Backup & Recovery Procedure,Company Name,text,None
Backup & Recovery Procedure,Document Version,text,None
Backup & Recovery Procedure,Effective Date of this Procedure,calendar,None
Backup & Recovery Procedure,Who owns or is responsible for backups and recovery?,text,None
Backup & Recovery Procedure,What is the purpose of this backup and recovery procedure?,text,None
Backup & Recovery Procedure,Which systems or data are covered by this procedure?,multi select,"[Databases, File Servers, Application Data, Cloud Storage, Other]"
Backup & Recovery Procedure,What backup frequency and retention policy applies?,text,None
Backup & Recovery Procedure,Which tools or systems are used for backup and recovery?,text,None
Backup & Recovery Procedure,Step-by-step backup and recovery procedure,table,"[Step No, Action, Responsible Role, Notes / Checks]"
Backup & Recovery Procedure,How is backup success verified?,text,None
Backup & Recovery Procedure,"If recovery is required, describe the recovery steps",text area,None
Backup & Recovery Procedure,Are there any exceptions or special cases for certain systems?,radio,"[Yes, No]"
Backup & Recovery Procedure,"If yes, describe the exceptions and handling approach",text area,None
Backup & Recovery Procedure,Is escalation required during backup or recovery operations?,radio,"[Yes, No]"
Backup & Recovery Procedure,"If escalation is required, who should it be escalated to?",text area,None
,,,
Security Incident Playbook,Company Name,text,None
Security Incident Playbook,Document Version,text,None
Security Incident Playbook,Effective Date of this Playbook,calendar,None
Security Incident Playbook,Who owns or is responsible for managing security incidents?,text,None
Security Incident Playbook,What is the purpose of this security incident playbook?,text,None
Security Incident Playbook,Which types of security incidents does this playbook cover?,multi select,"[Data breach, Malware infection, Unauthorized access, Phishing, Denial-of-service attack, Insider threat, Other]"
Security Incident Playbook,Who should use this document?,multi select,"[Security Team, IT Operations, SRE Team, Management, Legal/Compliance Team]"
Security Incident Playbook,Define roles and responsibilities,table,"[Role, Responsibility]"
Security Incident Playbook,What information must be available when a security incident is identified?,multi select,"[Incident report, Affected system, Time detected, Severity classification, Monitoring alerts]"
Security Incident Playbook,Step-by-step security incident response actions,table,"[Step No, Action, Responsible Role, Notes / Checks]"
Security Incident Playbook,Are there any exceptions or special security incident scenarios?,radio,"[Yes, No]"
Security Incident Playbook,"If yes, describe the exceptions and required actions",text area,None
Security Incident Playbook,Is escalation required for security incidents?,radio,"[Yes, No]"
Security Incident Playbook,"If escalation is required, who should the incident be escalated to?",text area,None
Security Incident Playbook,Describe how security incidents should be contained and mitigated,text area,None
Security Incident Playbook,Describe communication requirements during a security incident (internal and external),text area,None
Security Incident Playbook,Describe post-incident review and root cause analysis process,text area,None
Security Incident Playbook,Describe how lessons learned are documented and preventive actions are implemented,text area,None
,,,
On-Call Rotation Guide,Company Name,text,None
On-Call Rotation Guide,Document Version,text,None
On-Call Rotation Guide,Effective Date of this Guide,calendar,None
On-Call Rotation Guide,Who owns or manages the on-call process?,text,None
On-Call Rotation Guide,What is the purpose of this on-call rotation guide?,text,None
On-Call Rotation Guide,Which teams or roles are included in the on-call rotation?,text,None
On-Call Rotation Guide,What is the on-call rotation schedule?,radio,"[Weekly, Bi-weekly, Monthly, Custom]"
On-Call Rotation Guide,"If custom schedule is used, briefly describe it",text,None
On-Call Rotation Guide,Define roles and responsibilities,table,"[Role, Responsibility]"
On-Call Rotation Guide,Step-by-step on-call procedure,table,"[Step No, Action, Owner, Notes / Checks]"
On-Call Rotation Guide,Describe the escalation process (when and to whom incidents are escalated),text area,None
On-Call Rotation Guide,Describe shift handover guidelines between on-call rotations,text area,None
On-Call Rotation Guide,Are there any exceptions or special cases for on-call rotation?,radio,"[Yes, No]"
On-Call Rotation Guide,"If yes, describe the exceptions and required actions",text area,None
On-Call Rotation Guide,Describe expectations for response time and availability during on-call shifts,text area,None
On-Call Rotation Guide,Describe how on-call incidents and actions should be documented or logged,text area,None
On-Call Rotation Guide,"Describe compensation, time-off, or recovery policies related to on-call duties (if applicable)",text area,None
,,,
Monitoring & Alerting Setup,Company Name,text,None
Monitoring & Alerting Setup,Document Version,text,None
Monitoring & Alerting Setup,Effective Date of this SOP,calendar,None
Monitoring & Alerting Setup,Who is responsible for maintaining monitoring and alerting?,text,None
Monitoring & Alerting Setup,"List the systems, applications, or services that need to be monitored",text area,None
Monitoring & Alerting Setup,What metrics or events should trigger alerts?,text,None
Monitoring & Alerting Setup,What are the recovery or remediation steps when an alert is triggered?,text area,None
Monitoring & Alerting Setup,Which tools or platforms are used for monitoring and alerting?,text,None
Monitoring & Alerting Setup,How are alert severities defined?,radio,"[Critical, High, Medium, Low]"
Monitoring & Alerting Setup,Who receives alerts and notifications?,text,None
Monitoring & Alerting Setup,How are alerts escalated if not acknowledged?,text area,None
Monitoring & Alerting Setup,Are alerts monitored 24/7?,radio,"[Yes, No]"
Monitoring & Alerting Setup,Are there any exceptions or special cases in monitoring or alerting?,radio,"[Yes, No]"
Monitoring & Alerting Setup,"If yes, describe the exceptions and required actions",text area,None
Monitoring & Alerting Setup,Describe how monitoring and alerting configurations are reviewed and updated,text area,None
