document_id,question,type,options
Revenue Recognition Policy,Is revenue reviewed periodically for accuracy,bol_radio,"[Yes, No]"
Revenue Recognition Policy,Revenue review frequency,radio,"[Monthly, Quarterly]"
Revenue Recognition Policy,Are exceptions to this policy allowed,bol_radio,"[Yes, No]"
Revenue Recognition Policy,Explain how revenue recognition exceptions are approved and documented,text area,None
Revenue Recognition Policy,Describe the purpose of the revenue recognition policy and the revenue streams and transactions it applies to.,text area,None
Revenue Recognition Policy,"Specify the accounting standards or regulations followed for revenue recognition (e.g., IFRS, ASC 606) and how compliance is ensured.",text area,None
Revenue Recognition Policy,"Define responsibilities for contract review, revenue calculation, approval, and financial reporting.",text area,None
Revenue Recognition Policy,"Explain how significant judgments, estimates, or assumptions in revenue recognition are reviewed and approved.",text area,None
Social Media Policy,Company name,text,None
Social Media Policy,Company locations,text,None
Social Media Policy,Operating country/countries,text,None
Social Media Policy,Applies to,multi select,"[Full-time, Part-time, Contractor, Intern, Freelance]"
Social Media Policy,Effective date,calendar,None
Social Media Policy,Does the company allow employees to use social media in a work-related context,bol_radio,"[Yes, No]"
Social Media Policy,Types of social media covered under this policy,multi select,"[LinkedIn, Twitter/X, Facebook, Instagram]"
Social Media Policy,Are employees allowed to represent the company on social media,bol_radio,"[Yes, No]"
Social Media Policy,Is respectful and professional conduct required on social media,bol_radio,"[Yes, No]"
Social Media Policy,Is sharing confidential or proprietary information prohibited,bol_radio,"[Yes, No]"
Social Media Policy,Is the use of company branding or logos restricted,bol_radio,"[Yes, No]"
Social Media Policy,Are employees required to clarify personal opinions versus company views,bol_radio,"[Yes, No]"
Social Media Policy,Briefly describe any required disclaimers for personal accounts,text,None
Social Media Policy,Can the company take action for social media policy violations,bol_radio,"[Yes, No]"
Social Media Policy,Are social media activities monitored for policy compliance,bol_radio,"[Yes, No]"
Social Media Policy,Explain how revenue recognition exceptions are approved and documented,text area,None
Performance Review Process,Procedure name,text,None
Performance Review Process,Applies to roles,multi select,"[Employee, Manager, HR, Finance, IT, Other]"
Performance Review Process,Procedure owner,text,None
Performance Review Process,Effective date,calendar,None
Performance Review Process,Last reviewed date,calendar,None
Performance Review Process,What is the primary purpose of this performance review process?,text area,None
Performance Review Process,Which employees does this performance review apply to?,text area,None
Performance Review Process,Who should use this document?,multi select,"[Employees, Managers, HR Team, Leadership]"
Performance Review Process,Define roles and responsibilities involved in the performance review process.,table,"[Role, Responsibilities]"
Performance Review Process,How often are performance reviews conducted?,multi select,"[Monthly, Quarterly, Bi-annually, Annually]"
Performance Review Process,What information or inputs are required before starting the review?,text area,None
Performance Review Process,Which tools or systems are used to conduct and document performance reviews?,text area,None
Performance Review Process,Describe the step-by-step procedure for conducting a performance review.,text area,None
Performance Review Process,What are the expected outcomes of the performance review?,text area,None
Performance Review Process,How are performance review results communicated to employees?,text area,None
Performance Review Process,"Are performance improvement plans or development actions required after the review? If yes, describe the process.",text area,None
Performance Review Process,Are there any exceptions to the standard performance review process?,bol_radio,"[Yes, No]"
Performance Review Process,"How are exceptions, disputes, or disagreements handled and escalated?",text area,None
Performance Review Process,What records or documentation must be maintained after completing the review?,text area,None
Offboarding Procedure,Company Name,text,None
Offboarding Procedure,Document Version,text,None
Offboarding Procedure,Effective Date,calendar,None
Offboarding Procedure,Who owns this offboarding process?,multi select,"[HR Team, People Operations, IT Team, Management, Other]"
Offboarding Procedure,What is the primary purpose of this offboarding procedure?,text,None
Offboarding Procedure,Who should use this document?,multi select,"[HR Team, Managers, IT Team, Finance Team, Leadership]"
Offboarding Procedure,Define roles and responsibilities involved in offboarding,table,"[Role, Responsibility]"
Offboarding Procedure,What triggers the offboarding process?,multi select,"[Resignation, Termination, End of Contract, Retirement, Other]"
Offboarding Procedure,What inputs are required before starting the offboarding process?,text,None
Offboarding Procedure,Which tools or systems are used during offboarding?,text,None
Offboarding Procedure,Describe the step-by-step offboarding procedure,text area,None
Offboarding Procedure,Is manager approval required during offboarding?,bol_radio,"[Yes, No]"
Offboarding Procedure,Are company assets required to be returned during offboarding?,bol_radio,"[Yes, No]"
Offboarding Procedure,Are access rights and system credentials revoked as part of offboarding?,bol_radio,"[Yes, No]"
Offboarding Procedure,Are there any exceptions to the standard offboarding procedure? if yes explain.,text area,None
Onboarding Checklist,Company Name,text,None
Onboarding Checklist,Document Version,text,None
Onboarding Checklist,Effective Date,calendar,None
Onboarding Checklist,Who owns this onboarding process,radio,"[HR Team, People Operations, Hiring Manager, Other]"
Onboarding Checklist,What is the primary purpose of this onboarding checklist,text area,None
Onboarding Checklist,Which employees does this onboarding process apply to,text area,None
Onboarding Checklist,Who should use this document,multi select,"[HR Team, Hiring Managers, Team Leads, IT Support, New Hire]"
Onboarding Checklist,Define roles and responsibilities,table,"[Role, Responsibility]"
Onboarding Checklist,What are the mandatory preconditions and required inputs for onboarding process,multi select,"[Offer accepted, Joining date confirmed, Employee details ready, System access request submitted]"
Onboarding Checklist,Which tools or systems are used during onboarding,multi select,"[HRMS, Payroll, IT ticketing, LMS, Email/Collaboration tools]"
Onboarding Checklist,Step-by-step onboarding tasks (Day 1 / 30 / 60 / 90),table,"[Step No, Action, Owner, Timeline (Day 1 / 30 / 60 / 90), Notes]"
Onboarding Checklist,Are there any exceptions to the standard onboarding process,bol_radio,"[Yes, No]"
Onboarding Checklist,"If escalation is required during onboarding, who should it be escalated to",text,None
Onboarding Checklist,Are there any mandatory training or compliance requirements during onboarding,multi select,"[Code of Conduct, Information Security, Data Privacy, Workplace Safety, Anti-harassment, Other]"
Onboarding Checklist,"If mandatory training is required, by when must it be completed",text,None
Onboarding Checklist,How is onboarding completion tracked and verified,radio,"[HR confirmation, Manager sign-off, System-based checklist, Combination]"
Onboarding Checklist,What success criteria defines a completed onboarding (Day 90 readiness),text area,None
Onboarding Checklist,How is feedback collected from new hires about the onboarding experience,multi select,"[Survey, 1:1 meeting, HR check-in, Manager review, Not collected]"
Incident Response Plan,Company Name,text,None
Incident Response Plan,Document Version,text,None
Incident Response Plan,Effective Date,calendar,None
Incident Response Plan,Last Reviewed Date,calendar,None
Incident Response Plan,Who owns this incident response process?,multi select,"[Security Team, IT Operations, SRE Team, Incident Management Team, Other]"
Incident Response Plan,What is the primary purpose of this incident response plan?,text,None
Incident Response Plan,What types of incidents does this plan cover?,multi select,"[System outage, Security incident, Data breach, Performance degradation, Network issue, Application failure, Other]"
Incident Response Plan,Who should use this document?,multi select,"[IT Operations, SRE Team, Security Team, Engineering Team, Management]"
Incident Response Plan,Define roles and responsibilities,table,"[Role, Responsibility]"
Incident Response Plan,What are the mandatory preconditions for initiating incident response?,multi select,"[Monitoring alert triggered, User-reported issue, Security alert, Service downtime detected, Manual escalation]"
Incident Response Plan,How are incidents classified by severity?,radio,"[Critical, High, Medium, Low]"
Incident Response Plan,What information is required when an incident is identified?,text area,None
Incident Response Plan,Which tools or systems are used during incident response?,multi select,"[Monitoring tools, Ticketing system, Incident management tool, Communication tool, Logging system]"
Incident Response Plan,Describe the step-by-step incident response procedure,text area,None
Incident Response Plan,When should an incident be escalated?,text area,None
Incident Response Plan,"If there any exceptions to the standard incident response process, describe the exception scenarios and actions",text area,None
Incident Response Plan,Describe the incident communication process (internal and external),text area,None
Incident Response Plan,Explain how incident resolution and recovery are validated,text area,None
Incident Response Plan,Describe post-incident review or root cause analysis process,text area,None
Incident Response Plan,Explain how lessons learned are documented and shared,text area,None
Incident Response Plan,Describe how this incident response plan is reviewed and updated,text area,None
Customer Onboarding Checklist,Company Name,text,None
Customer Onboarding Checklist,Document Version,text,None
Customer Onboarding Checklist,Effective Date,calendar,None
Customer Onboarding Checklist,Last Reviewed Date,calendar,None
Customer Onboarding Checklist,Which internal team owns customer onboarding for the first 30 days?,radio,"[Customer Success, Implementation Team, Operations, Sales, Other]"
Customer Onboarding Checklist,What type of customers does this 30-day onboarding apply to?,text area,None
Customer Onboarding Checklist,What are the primary onboarding goals for the first 30 days?,text area,None
Customer Onboarding Checklist,What information must be available immediately after purchase to start onboarding?,text area,None
Customer Onboarding Checklist,Define internal roles and responsibilities during the first 30 days,table,"[Role, Responsibility]"
Customer Onboarding Checklist,How is the 30-day onboarding structured into phases?,multi select,"[Day 1–3 (Setup & Access), Day 4–10 (Configuration), Day 11–20 (Training & Usage), Day 21–30 (Adoption & Handover)]"
Customer Onboarding Checklist,Provide the step-by-step onboarding checklist for the first 30 days,table,"[Phase/Day Range, Task, Owner, Completion Criteria]"
Customer Onboarding Checklist,Which tools or systems are used during customer onboarding?,multi select,"[CRM, Ticketing Tool, Email, Onboarding Platform, Documentation Portal, Other]"
Customer Onboarding Checklist,What situations require internal escalation during the first 30 days?,text area,None
Customer Onboarding Checklist,Who should onboarding issues be escalated to?,radio,"[Customer Success Lead, Implementation Manager, Engineering, Support, Management]"
Customer Onboarding Checklist,How is successful completion of 30-day onboarding confirmed?,radio,"[Internal checklist sign-off, Customer confirmation, First value milestone achieved, Handover to support/account management]"
Customer Onboarding Checklist,"If there any exceptions to the standard onboarding process, describe the exception scenarios and handling approach",text area,None
Incident Response Runbook,Company Name,text,None
Incident Response Runbook,Document Version,text,None
Incident Response Runbook,Effective Date,calendar,None
Incident Response Runbook,Who owns this runbook?,multi select,"[IT Operations, SRE Team, Security Team, Incident Management Team, Other]"
Incident Response Runbook,What is the primary purpose of this runbook?,text,None
Incident Response Runbook,Which types of incidents does this runbook cover?,multi select,"[System outage, Security incident, Application failure, Network issue, Performance degradation, Other]"
Incident Response Runbook,Who should use this document?,multi select,"[IT Operations, SRE Team, Security Team, Engineering Team, Management]"
Incident Response Runbook,Define roles and responsibilities,table,"[Role, Responsibility]"
Incident Response Runbook,What are the mandatory preconditions for using this runbook?,multi select,"[Monitoring alert triggered, User-reported issue, Incident ID, Affected system, Severity level]"
Incident Response Runbook,Which tools or systems are used during incident response?,multi select,"[Monitoring tools, Ticketing system, Incident management tool, Logging system, Communication platform]"
Incident Response Runbook,Step-by-step incident response actions,table,"[Step No, Action, Owner, Notes]"
Incident Response Runbook,Are there any exceptions to the standard incident response process?,bol_radio,"[Yes, No]"
Incident Response Runbook,"If there any exceptions to the standard incident response process escalation is required, who should it be escalated to?",text area,None
Deployment SOP,Company Name,text,None
Deployment SOP,Document Version,text,None
Deployment SOP,Effective Date of this SOP,calendar,None
Deployment SOP,Who is responsible for this deployment process?,text,None
Deployment SOP,What is the main goal of this deployment SOP?,text,None
Deployment SOP,Which environments does this SOP cover?,multi select,"[Development, Staging, Production, QA, Other]"
Deployment SOP,What approvals are required before deployment?,text,None
Deployment SOP,What pre-deployment checks must be completed?,text,None
Deployment SOP,"Which tools, scripts, or systems are required during deployment?",text,None
Deployment SOP,Step-by-step deployment instructions,table,"[Step No, Action, Responsible Role, Notes / Checks]"
Deployment SOP,Describe the rollback plan if deployment fails,text area,None
Deployment SOP,How should deployment success be verified?,text,None
Deployment SOP,Are there any exceptions or special cases for deployment?,bol_radio,"[Yes, No]"
Deployment SOP,Describe the exceptions and required actions,text area,None
Deployment SOP,Describe post-deployment activities and validation steps,text area,None
Deployment SOP,Explain how deployment issues or failures should be reported and tracked,text area,None
Deployment SOP,"Describe communication requirements before, during, and after deployment",text area,None
Database Migration SOP,Company Name,text,None
Database Migration SOP,Document Version,text,None
Database Migration SOP,Effective Date of this SOP,calendar,None
Database Migration SOP,Who is responsible for this database migration?,text,None
Database Migration SOP,What is the purpose of this database migration SOP?,text,None
Database Migration SOP,Which databases or systems are covered by this SOP?,text,None
Database Migration SOP,What type of database migration is being performed?,multi select,"[Schema Migration, Data Migration, Version Upgrade, Platform Migration, Cloud Migration, Other]"
Database Migration SOP,Is planned downtime required for this migration?,bol_radio,"[Yes, No]"
Database Migration SOP,What pre-migration checks must be completed?,text,None
Database Migration SOP,Which tools or systems are required for migration?,text,None
Database Migration SOP,Step-by-step database migration procedure,table,"[Step No, Action, Responsible Role, Notes / Checks]"
Database Migration SOP,How is migration success validated after completion?,text,None
Database Migration SOP,Is rollback required if migration fails?,bol_radio,"[Yes, No]"
Database Migration SOP,Describe the rollback or failure-handling procedure,text area,None
Database Migration SOP,Are there any exceptions or special considerations?,bol_radio,"[Yes, No]"
Database Migration SOP,"If yes, describe the exceptions and handling approach",text area,None
Backup & Recovery Procedure,Company Name,text,None
Backup & Recovery Procedure,Document Version,text,None
Backup & Recovery Procedure,Effective Date of this Procedure,calendar,None
Backup & Recovery Procedure,Who owns or is responsible for backups and recovery?,text,None
Backup & Recovery Procedure,What is the purpose of this backup and recovery procedure?,text,None
Backup & Recovery Procedure,Which systems or data are covered by this procedure?,multi select,"[Databases, File Servers, Application Data, Cloud Storage, Other]"
Backup & Recovery Procedure,What backup frequency and retention policy applies?,text,None
Backup & Recovery Procedure,Which tools or systems are used for backup and recovery?,text,None
Backup & Recovery Procedure,Step-by-step backup and recovery procedure,table,"[Step No, Action, Responsible Role, Notes / Checks]"
Backup & Recovery Procedure,How is backup success verified?,text,None
Backup & Recovery Procedure,"If recovery is required, describe the recovery steps",text area,None
Backup & Recovery Procedure,Are there any exceptions or special cases for certain systems?,bol_radio,"[Yes, No]"
Backup & Recovery Procedure,"If yes, describe the exceptions and handling approach",text area,None
Backup & Recovery Procedure,Is escalation required during backup or recovery operations?,bol_radio,"[Yes, No]"
Backup & Recovery Procedure,"If escalation is required, who should it be escalated to?",text area,None
Security Incident Playbook,Company Name,text,None
Security Incident Playbook,Document Version,text,None
Security Incident Playbook,Effective Date of this Playbook,calendar,None
Security Incident Playbook,Who owns or is responsible for managing security incidents?,text,None
Security Incident Playbook,What is the purpose of this security incident playbook?,text,None
Security Incident Playbook,Which types of security incidents does this playbook cover?,multi select,"[Data breach, Malware infection, Unauthorized access, Phishing, Denial-of-service attack, Insider threat, Other]"
Security Incident Playbook,Who should use this document?,multi select,"[Security Team, IT Operations, SRE Team, Management, Legal/Compliance Team]"
Security Incident Playbook,Define roles and responsibilities,table,"[Role, Responsibility]"
Security Incident Playbook,What information must be available when a security incident is identified?,multi select,"[Incident report, Affected system, Time detected, Severity classification, Monitoring alerts]"
Security Incident Playbook,Step-by-step security incident response actions,table,"[Step No, Action, Responsible Role, Notes / Checks]"
Security Incident Playbook,Are there any exceptions or special security incident scenarios?,bol_radio,"[Yes, No]"
Security Incident Playbook,"If yes, describe the exceptions and required actions",text area,None
Security Incident Playbook,Is escalation required for security incidents?,bol_radio,"[Yes, No]"
Security Incident Playbook,"If escalation is required, who should the incident be escalated to?",text area,None
Security Incident Playbook,Describe how security incidents should be contained and mitigated,text area,None
Security Incident Playbook,Describe communication requirements during a security incident (internal and external),text area,None
Security Incident Playbook,Describe post-incident review and root cause analysis process,text area,None
Security Incident Playbook,Describe how lessons learned are documented and preventive actions are implemented,text area,None
On-Call Rotation Guide,Company Name,text,None
On-Call Rotation Guide,Document Version,text,None
On-Call Rotation Guide,Effective Date of this Guide,calendar,None
On-Call Rotation Guide,Who owns or manages the on-call process?,text,None
On-Call Rotation Guide,What is the purpose of this on-call rotation guide?,text,None
On-Call Rotation Guide,Which teams or roles are included in the on-call rotation?,text,None
On-Call Rotation Guide,What is the on-call rotation schedule?,radio,"[Weekly, Bi-weekly, Monthly, Custom]"
On-Call Rotation Guide,"If custom schedule is used, briefly describe it",text,None
On-Call Rotation Guide,Define roles and responsibilities,table,"[Role, Responsibility]"
On-Call Rotation Guide,Step-by-step on-call procedure,table,"[Step No, Action, Owner, Notes / Checks]"
On-Call Rotation Guide,Describe the escalation process (when and to whom incidents are escalated),text area,None
On-Call Rotation Guide,Describe shift handover guidelines between on-call rotations,text area,None
On-Call Rotation Guide,Are there any exceptions or special cases for on-call rotation?,bol_radio,"[Yes, No]"
On-Call Rotation Guide,"If yes, describe the exceptions and required actions",text area,None
On-Call Rotation Guide,Describe expectations for response time and availability during on-call shifts,text area,None
On-Call Rotation Guide,Describe how on-call incidents and actions should be documented or logged,text area,None
On-Call Rotation Guide,"Describe compensation, time-off, or recovery policies related to on-call duties (if applicable)",text area,None
Monitoring & Alerting Setup,Company Name,text,None
Monitoring & Alerting Setup,Document Version,text,None
Monitoring & Alerting Setup,Effective Date of this SOP,calendar,None
Monitoring & Alerting Setup,Who is responsible for maintaining monitoring and alerting?,text,None
Monitoring & Alerting Setup,"List the systems, applications, or services that need to be monitored",text area,None
Monitoring & Alerting Setup,What metrics or events should trigger alerts?,text,None
Monitoring & Alerting Setup,What are the recovery or remediation steps when an alert is triggered?,text area,None
Monitoring & Alerting Setup,Which tools or platforms are used for monitoring and alerting?,text,None
Monitoring & Alerting Setup,How are alert severities defined?,radio,"[Critical, High, Medium, Low]"
Monitoring & Alerting Setup,Who receives alerts and notifications?,text,None
Monitoring & Alerting Setup,How are alerts escalated if not acknowledged?,text area,None
Monitoring & Alerting Setup,Are alerts monitored 24/7?,bol_radio,"[Yes, No]"
Monitoring & Alerting Setup,Are there any exceptions or special cases in monitoring or alerting?,bol_radio,"[Yes, No]"
Monitoring & Alerting Setup,"If yes, describe the exceptions and required actions",text area,None
Monitoring & Alerting Setup,Describe how monitoring and alerting configurations are reviewed and updated,text area,None
Contract Review Checklist,Company Name,text,None
Contract Review Checklist,Document Version,text,None
Contract Review Checklist,Contract Title / Name,text,None
Contract Review Checklist,Contract Type,radio,"[Vendor agreement, Customer agreement, Partnership agreement, Employment contract, NDA, Other]"
Contract Review Checklist,Who are the contracting parties,text,None
Contract Review Checklist,What is the purpose of the contract,text area,None
Contract Review Checklist,Is this a new contract or a renewal,radio,"[New, Renewal, Amendment]"
Contract Review Checklist,Contract term (start date / duration),text,None
Contract Review Checklist,Does the contract involve payments,bol_radio,"[Yes, No]"
Contract Review Checklist,Does the contract involve personal or confidential data,radio,"[Yes, No, Not sure]"
Contract Review Checklist,Does the contract include key obligations for your company,radio,"[Yes, No, Not sure]"
Contract Review Checklist,Are termination rights defined,radio,"[Yes, No, Not sure]"
Contract Review Checklist,Are there any clauses that feel risky or unclear,radio,"[Yes, No, Not sure]"
Contract Review Checklist,"If yes, briefly describe the concern",text area,None
Contract Review Checklist,Who should review or approve this contract,radio,"[Legal Team, Compliance Team, Finance Team, Business Owner]"
Contract Review Checklist,Current contract status,radio,"[Draft, Under review, Approved, Signed]"
Employee Handbook,Organization Name,text,None
Employee Handbook,Type of Organization,radio,"[Startup, SME, Enterprise, Non-profit]"
Employee Handbook,Who is this employee handbook intended for?,multi select,"[All Employees, Managers, Interns, Contractors]"
Employee Handbook,Where does this handbook apply?,radio,"[Single Country, Multiple Countries, Global]"
Employee Handbook,Primary country or region of operation (if applicable),text,None
Employee Handbook,What work model does your company follow?,multi select,"[On-site, Remote, Hybrid]"
Employee Handbook,What should be the overall tone of this handbook?,radio,"[Friendly & Informal, Professional & Balanced, Strict & Policy-Driven]"
Employee Handbook,Which core policy areas should be included in the handbook?,multi select,"[Working Hours & Attendance, Leave & Time Off, Code of Conduct, Workplace Behavior & Ethics, Remote Work, Workplace Safety, Data & Information Security]"
Employee Handbook,How are working hours generally structured?,radio,"[Fixed Hours, Flexible Hours, Shift-Based, Role-Dependent]"
Employee Handbook,Are employees required to track or report working hours?,radio,"[Required, Automated, No tracking]"
Employee Handbook,Which types of leave should be covered?,multi select,"[Paid Leave, Sick Leave, Public Holidays, Parental Leave, Unpaid Leave]"
Employee Handbook,How should employee conduct and disciplinary issues be handled?,radio,"[Guidance-First Approach, Progressive Discipline, Zero-Tolerance Policy]"
Employee Handbook,Define key roles responsible for employee policies,table,"[Role, Responsibility]"
Employee Handbook,Should workplace safety and health guidelines be included?,bol_radio,"[Yes, No]"
Employee Handbook,Should data security and confidentiality rules be included?,bol_radio,"[Yes, No]"
Employee Handbook,Are employees required to acknowledge or sign the handbook?,radio,"[Digital Acknowledgment, Written signature, Not required]"
Employee Handbook,Are there any exceptions to the standard employee policies?,bol_radio,"[Yes, No]"
Employee Handbook,"If yes, describe the exceptions",text area,None
Employee Handbook,Who should employees contact for questions or clarifications?,text,None
Employee Handbook,Effective date of this employee handbook,calendar,None
Employee Handbook,"Describe your companyâ€™s mission, values, or principles that should be reflected in the employee handbook",text area,None
Employee Handbook,Describe the overall workplace culture and behavior expectations you want employees to follow,text area,None
Employee Handbook,"Describe how performance, feedback, and professional growth are handled in your organization",text area,None
Employee Handbook,"Describe how employee concerns, grievances, or conflicts should be raised and resolved",text area,None
Employee Handbook,"Describe any unique practices, benefits, or rules that make your organization different and should be included",text area,None
Benefits Guide,Organization Name,text,None
Benefits Guide,Who is this benefits guide intended for?,multi select,"[Full-Time Employees, Part-Time Employees, Interns, Contractors]"
Benefits Guide,Where does this benefits guide apply?,radio,"[Single Country, Multiple Countries, Global]"
Benefits Guide,Which categories of benefits should be included?,multi select,"[Health & Insurance, Paid Time Off, Financial Benefits, Learning & Development, Wellness Benefits, Other Benefits]"
Benefits Guide,Are all benefits available to all employee types?,radio,"[Yes, all employees receive the same benefits, No, benefits vary by employee type]"
Benefits Guide,How are benefits typically provided?,multi select,"[Employer-Provided, Reimbursement-Based, Third-Party Provider, Optional / Employee-Opt-In]"
Benefits Guide,When do employees become eligible for benefits?,radio,"[Immediately upon joining, After probation period, After a fixed time period, Role-dependent]"
Benefits Guide,How can employees enroll in or access their benefits?,radio,"[Automatically enrolled, Through HR portal, By submitting a request to HR, Through an external provider]"
Benefits Guide,"If there are any limitations or exclusions employees should be aware of, please describe the key limitations or exclusions",text area,None
Benefits Guide,Do any benefits require periodic renewal or re-enrollment?,bol_radio,"[Yes, No]"
Benefits Guide,How often are employee benefits reviewed or updated?,radio,"[Annually, Bi-annually, As needed, Not defined]"
Benefits Guide,Should this benefits guide include any legal or tax-related disclaimers?,bol_radio,"[Yes, No]"
Benefits Guide,Describe how benefit-related changes or updates are communicated to employees,text area,None
Benefits Guide,Describe any special or unique benefits your organization offers that should be highlighted,text area,None
Benefits Guide,Who should employees contact for benefits-related questions?,text,None
Data Security Training,Organization Name,text,None
Data Security Training,Who is this data security training intended for?,multi select,"[All Employees, Managers, Engineering Team, Sales Team, Contractors]"
Data Security Training,Where does this data security training apply?,radio,"[Single Country, Multiple Countries, Global]"
Data Security Training,"In your own words, why is data security important for your organization?",text area,None
Data Security Training,Which data security topics should be included in the training?,multi select,"[Data Classification, Password & Access Management, Phishing Awareness, Device Security, Remote Work Security, Incident Reporting]"
Data Security Training,Describe the key data security risks employees should be aware of,text area,None
Data Security Training,Should this training be mandatory for employees?,radio,"[Yes, mandatory for everyone, Mandatory for specific roles, Optional but recommended]"
Data Security Training,"If training is mandatory for specific roles, which roles must complete it?",text,None
Data Security Training,How often should employees complete this training?,radio,"[One-time, Annually, Bi-annually, Upon role change]"
Data Security Training,How should this training be delivered?,multi select,"[Online self-paced, Live sessions, Recorded videos, Written materials]"
Data Security Training,What actions or behaviors do you expect employees to follow after completing the training?,text area,None
Data Security Training,Do employees need to complete an assessment or acknowledgment after training?,radio,"[Yes, assessment required, Yes, acknowledgment only, No]"
Data Security Training,What should employees do if they suspect a data security incident or breach?,text area,None
Data Security Training,Who should employees contact for data security questions or to report an incident?,text,None
Data Security Training,Describe how data security responsibilities differ across roles or departments,text area,None
Data Security Training,Describe common data handling mistakes employees should avoid,text area,None
Data Security Training,Describe expectations around secure use of personal devices and remote work setups,text area,None
Data Security Training,Describe how data security updates or new threats should be communicated to employees,text area,None
Data Security Training,Describe any past data security incidents or lessons learned that should influence this training,text area,None
Training Materials,Organization Name,text,None
Training Materials,What is the primary goal of this training?,radio,"[Product Knowledge, Sales Skills, Customer Onboarding, Support Enablement, Compliance Awareness]"
Training Materials,Who is this training intended for?,multi select,"[Sales Team, Customer Success, Support Team, Pre-Sales, Partners]"
Training Materials,What experience level is this training designed for?,radio,"[New Joiners, Intermediate, Advanced, Mixed Levels]"
Training Materials,"Which products, services, or offerings does this training cover?",text area,None
Training Materials,Which core topics should be included in the training?,multi select,"[Product Overview, Value Proposition, Key Features, Pricing Basics, Common Objections, Customer Use Cases, Competitive Positioning]"
Training Materials,Describe the key messages or takeaways learners should remember,text area,None
Training Materials,How should this training be delivered?,multi select,"[Live Sessions, Recorded Videos, Slide Decks, Written Guides, Hands-on Demos]"
Training Materials,"If real-world examples or scenarios should be included, describe the type of scenarios",text area,None
Training Materials,How should learners demonstrate understanding after the training?,radio,"[Quiz or Assessment, Role-Play, Practical Exercise, Manager Review, No Validation Needed]"
Training Materials,Is this training mandatory?,radio,"[Yes, mandatory, Optional but recommended]"
Training Materials,How often should this training be refreshed or repeated?,radio,"[One-time, Quarterly, Bi-annually, Annually, As needed]"
Training Materials,"Describe common objections, questions, or challenges learners should be prepared to handle",text area,None
Training Materials,Describe ideal customer profiles or target audiences this training should focus on,text area,None
Training Materials,Describe best practices or dos and donâ€™ts learners should follow when interacting with customers,text area,None
Training Materials,Describe how this training should align with your sales or customer-facing playbooks,text area,None
Training Materials,Who should learners contact if they have questions about this training?,text,None
Feature Comparison Sheet,Product or Solution Name,text,None
Feature Comparison Sheet,Who is this feature comparison intended for?,radio,"[Prospective Customers, Existing Customers, Sales Team, Partners]"
Feature Comparison Sheet,What is the primary purpose of this comparison?,radio,"[Competitive positioning, Customer education, Internal sales enablement]"
Feature Comparison Sheet,Which products are being compared?,table,"[Product Name, Type - Your Product / Competitor]"
Feature Comparison Sheet,How many comparison features should be included?,radio,"[3-5 key features, 6-10 features, 10+ features]"
Feature Comparison Sheet,List the features or capabilities to compare,table,"[Feature Name, Short Description]"
Feature Comparison Sheet,How should feature availability be represented?,radio,"[Yes / No, Available / Not Available, Tier-based, Custom Notes]"
Feature Comparison Sheet,"If pricing-related features should be included, describe how pricing or cost differences should be presented",text area,None
Feature Comparison Sheet,What level of detail should be shown for each feature?,radio,"[High-level summary, Moderate detail, Detailed explanation]"
Feature Comparison Sheet,"If there are key differentiator features, describe which features should be highlighted and why",text area,None
Feature Comparison Sheet,"If there are any limitations or exclusions that should be disclosed, describe them clearly",text area,None
Feature Comparison Sheet,What tone should the comparison use?,radio,"[Neutral & factual, Sales-friendly, Strongly competitive]"
Feature Comparison Sheet,Describe the ideal customer or use case this comparison is designed to influence,text area,None
Feature Comparison Sheet,Describe common competitor strengths or claims this comparison should address,text area,None
Feature Comparison Sheet,"Describe any compliance, legal, or accuracy considerations that must be respected in this comparison",text area,None
Feature Comparison Sheet,"Describe how this comparison should be used by sales or customer-facing teams (e.g., pitch, follow-up, demo support)",text area,None
Feature Comparison Sheet,Who should be contacted if there are questions about this comparison?,text,None
Pricing & Packaging Doc,Product or Service Name,text,None
Pricing & Packaging Doc,Who is this pricing document intended for?,radio,"[Prospective Customers, Existing Customers, Sales Team, Partners]"
Pricing & Packaging Doc,What is the primary goal of this pricing document?,radio,"[Explain pricing structure, Compare plans, Support sales conversations]"
Pricing & Packaging Doc,What pricing model do you use?,multi select,"[Flat Pricing, Per-User Pricing, Usage-Based Pricing, Tiered Pricing, Custom / Quote-Based]"
Pricing & Packaging Doc,List the pricing packages or plans you offer,table,"[Plan Name, Target Customer, Short Description]"
Pricing & Packaging Doc,How should pricing amounts be shown in this document?,radio,"[Exact prices, Price ranges, No prices (contact sales)]"
Pricing & Packaging Doc,"Explain how pricing works across plans (e.g., differences, limits, scaling)",text area,None
Pricing & Packaging Doc,"If there are any add-ons or optional features customers can purchase separately, describe them",text area,None
Pricing & Packaging Doc,"If there are any usage limits, thresholds, or fair-use rules customers should know about, explain them",text area,None
Pricing & Packaging Doc,Describe the main value or benefit customers receive at each pricing tier,text area,None
Pricing & Packaging Doc,Describe common customer objections or questions related to pricing that this document should address,text area,None
Pricing & Packaging Doc,"Describe any discounts, promotions, or special pricing conditions that may apply",text area,None
Pricing & Packaging Doc,"Describe any pricing-related terms, assumptions, or caveats customers should be aware of",text area,None
Pricing & Packaging Doc,Who should customers contact for pricing questions or custom quotes?,text,None
Security Questionnaire Responses,Organization Name,text,None
